id,key,value,type
29352731,ref,NE1,regular
29352731,name,Ahmadabad Vadodara Expressway,regular
29352731,oneway,yes,regular
29352731,highway,motorway,regular
29352731,maxspeed,100,regular
29352731,created_by,Potlatch 0.10f,regular
29352732,name,Ahmadabad Vadodara Expressway,regular
29352732,layer,1,regular
29352732,bridge,yes,regular
29352732,oneway,yes,regular
29352732,highway,motorway,regular
29352732,maxspeed,100,regular
29352733,ref,NE1,regular
29352733,name,Ahmadabad Vadodara Expressway,regular
29352733,oneway,yes,regular
29352733,highway,motorway,regular
29352733,maxspeed,100,regular
29352733,created_by,Potlatch 0.10f,regular
29352773,ref,NE1,regular
29352773,name,Ahmadabad Vadodara Expressway,regular
29352773,oneway,yes,regular
29352773,highway,motorway,regular
29352773,maxspeed,100,regular
29352773,created_by,Potlatch 0.10f,regular
29352775,name,Ahmadabad Vadodara Expressway,regular
29352775,layer,1,regular
29352775,bridge,yes,regular
29352775,oneway,yes,regular
29352775,highway,motorway,regular
29352775,maxspeed,100,regular
29352777,name,Ahmadabad Vadodara Expressway,regular
29352777,layer,1,regular
29352777,bridge,yes,regular
29352777,oneway,yes,regular
29352777,highway,motorway,regular
29352777,maxspeed,100,regular
29352780,ref,NE1,regular
29352780,name,Ahmadabad Vadodara Expressway,regular
29352780,toll,yes,regular
29352780,oneway,yes,regular
29352780,highway,motorway,regular
29352780,maxspeed,100,regular
29352958,power,substation,regular
29353567,power,substation,regular
29354169,power,line,regular
29354169,cables,3,regular
29355337,power,substation,regular
29355589,power,line,regular
29355953,power,line,regular
29355953,cables,6,regular
29355953,voltage,220000,regular
29361153,oneway,yes,regular
29361153,highway,primary,regular
29361153,old,NH8,ref
29361153,motorroad,no,regular
29361198,name,Narol-Sarkhej Road,regular
29361198,oneway,yes,regular
29361198,highway,primary,regular
29361198,motorroad,no,regular
29361198,country,IN,addr
29361224,layer,1,regular
29361224,bridge,yes,regular
29361224,oneway,yes,regular
29361224,highway,primary,regular
29361224,motorroad,no,regular
29361229,layer,1,regular
29361229,bridge,yes,regular
29361229,oneway,yes,regular
29361229,highway,primary,regular
29361229,motorroad,no,regular
29361231,name,Narol-Sarkhej Road,regular
29361231,oneway,yes,regular
29361231,highway,primary,regular
29361231,motorroad,no,regular
29361231,country,IN,addr
29361477,ref,NH47,regular
29361477,oneway,yes,regular
29361477,highway,trunk,regular
29361477,old,NH8A,ref
29361883,ref,NH8A,regular
29361883,name,H8A,regular
29361883,oneway,yes,regular
29361883,highway,trunk,regular
29361921,electrified,contact_line,regular
29361921,frequency,50,regular
29361921,gauge,1676,regular
29361921,name,Western Railway Line,regular
29361921,note,The Operator of the railway line is Indian Railways,regular
29361921,railway,rail,regular
29361921,usage,main,regular
29361921,voltage,25000,regular
29362056,ref,NH8A,regular
29362056,name,NH8A,regular
29362056,layer,1,regular
29362056,bridge,yes,regular
29362056,oneway,yes,regular
29362056,highway,trunk,regular
29362056,motorroad,no,regular
29362059,ref,NH147,regular
29362059,oneway,yes,regular
29362059,highway,trunk,regular
29362059,old,NH8A,ref
29362059,motorroad,no,regular
29362060,ref,NH147,regular
29362060,layer,1,regular
29362060,bridge,yes,regular
29362060,oneway,yes,regular
29362060,highway,trunk,regular
29362060,old,NH8A,ref
29362763,electrified,contact_line,regular
29362763,frequency,50,regular
29362763,gauge,1676,regular
29362763,name,Western Railway Line,regular
29362763,railway,rail,regular
29362763,usage,main,regular
29362763,voltage,25000,regular
29362764,gauge,1676,regular
29362764,layer,1,regular
29362764,usage,main,regular
29362764,bridge,yes,regular
29362764,railway,rail,regular
29362764,voltage,25000,regular
